PlayerID,LastName,FirstName,Bats,Pitches,Team,X7
irvim101,Irvin,Monte,R,R,NY1,1B
jansl101,Jansen,Larry,R,R,NY1,P
jones103,Jones,Sheldon,R,R,NY1,P
jorgs101,Jorgensen,Spider,L,R,NY1,3B
kennm101,Kennedy,Monty,R,L,NY1,P
kosld101,Koslo,Dave,L,L,NY1,P
kramj101,Kramer,Jack,R,R,NY1,P
lockw101,Lockman,Whitey,L,R,NY1,OF
lohrj101,Lohrke,Jack,R,R,NY1,3B
magls101,Maglie,Sal,R,R,NY1,P
maguj101,Maguire,Jack,R,R,NY1,OF
mccom101,McCormick,Mike,R,R,NY1,PH
milnp101,Milne,Pete,L,R,NY1,PH
mueld101,Mueller,Don,L,R,NY1,OF
muelr101,Mueller,Ray,R,R,NY1,C
reyen101,Reyes,Nap,R,R,NY1,1B
rignb101,Rigney,Bill,R,R,NY1,2B
rufer101,Rufer,Rudy,R,R,NY1,SS
speng102,Spencer,George,R,R,NY1,P
stane101,Stanky,Eddie,R,R,NY1,2B
thomb105,Thomson,Bobby,R,R,NY1,OF
thomh103,Thompson,Hank,L,R,NY1,3B
weatr101,Weatherly,Roy,L,R,NY1,OF
westw101,Westrum,Wes,R,R,NY1,C
yvars101,Yvars,Sal,R,R,NY1,C
baueh101,Bauer,Hank,R,R,NYA,OF
berry101,Berra,Yogi,L,R,NYA,C
browb105,Brown,Bobby,L,R,NYA,3B
burdl101,Burdette,Lew,R,R,NYA,P
byrnt101,Byrne,Tommy,L,L,NYA,P
colej106,Coleman,Jerry,R,R,NYA,2B
collj101,Collins,Joe,L,L,NYA,1B
delsj101,Delsing,Jim,L,R,NYA,PH
dimaj101,DiMaggio,Joe,R,R,NYA,OF
ferrt101,Ferrick,Tom,R,R,NYA,P
fordw101,Ford,Whitey,L,L,NYA,P
henrt101,Henrich,Tommy,L,L,NYA,1B
hoppj102,Hopp,Johnny,L,L,NYA,1B
houkr101,Houk,Ralph,R,R,NYA,C
jensj101,Jensen,Jackie,R,R,NYA,OF
johnb108,Johnson,Billy,R,R,NYA,3B
johnd102,Johnson,Don,R,R,NYA,P
lindj101,Lindell,Johnny,R,R,NYA,OF
lopae101,Lopat,Eddie,L,L,NYA,P
madid101,Madison,Dave,R,R,NYA,P
mapec101,Mapes,Cliff,L,R,NYA,OF
martb105,Martin,Billy,R,R,NYA,2B
mizej101,Mize,Johnny,L,R,NYA,1B
nevee102,Nevel,Ernie,R,R,NYA,P
niarg101,Niarhos,Gus,R,R,NYA,PR
ostrj101,Ostrowski,Joe,L,L,NYA,P
